"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_GO_Caiaponia.867300_INMET","GO","Caiaponia",18148,6,23.25442922,0,4837.9,158.6
"BRA_GO_Catalao.867770_INMET","GO","Catalao",98737,6,22.50558219,3.3,4564.5,123
"BRA_GO_Cristalina.867370_INMET","GO","Cristalina",53300,4,20.72353881,32,3914.1,8.6
"BRA_GO_Goianesia.867130_INMET","GO","Goianesia",65767,6,24.53503425,0,5305.3,351.7
"BRA_GO_Goiania.834230_INMET","GO","Goiania",1430697,6,23.22976027,5.4,4828.9,174.6
"BRA_GO_Goias.867120_INMET","GO","Goias",24439,7,24.98077626,0,5468,449.3
"BRA_GO_Itapaci.866890_INMET","GO","Itapaci",20945,6,23.90124429,0,5074,278.1
"BRA_GO_Itumbiara.867740_INMET","GO","Itumbiara",100548,6,23.91726027,10,5079.8,271.8
"BRA_GO_Jatai.867520_INMET","GO","Jatai",95998,6,22.41531963,11.7,4531.6,98.5
"BRA_GO_Luziania.867360_INMET","GO","Luziania",194039,4,21.98347032,5.3,4374,38.3
"BRA_GO_Mineiros.867510_INMET","GO","Mineiros",60464,6,22.37296804,25,4516.1,69.9
"BRA_GO_Monte.Alegre.de.Goias.866700_INMET","GO","Monte Alegre de Goias",8319,7,24.96426941,0,5462,457
"BRA_GO_Morrinhos.867550_INMET","GO","Morrinhos",44607,6,22.37742009,14.4,4517.8,60.9
"BRA_GO_Niquelandia.866900_INMET","GO","Niquelandia",45243,6,24.31003425,0,5223.2,290.4
"BRA_GO_Parauna.867320_INMET","GO","Parauna",11199,6,23.99745434,0.4,5109.1,303.9
"BRA_GO_Pires.do.Rio.867560_INMET","GO","Pires do Rio",30703,4,22.94133562,5.4,4723.6,115.1
"BRA_GO_Posse.866920_INMET","GO","Posse",34663,6,24.43759132,0,5269.7,335.3
"BRA_GO_Rio.Verde.867530_INMET","GO","Rio Verde",207296,6,22.80247717,6.2,4672.9,126.6
"BRA_GO_Sao.Simao.867730_INMET","GO","Sao Simao",19110,6,23.98585616,27.1,5104.8,300
"BRA_MA_Alto.Parnaiba.829700_INMET","MA","Alto Parnaiba",10956,7,25.74573059,0,5747.2,657.7
"BRA_MA_Bacabal.817900_INMET","MA","Bacabal",102656,8,27.27794521,0,6306.5,1196.6
"BRA_MA_Balsas.819030_INMET","MA","Balsas",92144,7,25.94791096,0,5821,725.1
"BRA_MA_Barra.do.Corda.818250_INMET","MA","Barra do Corda",86151,7,26.28393836,0,5943.6,837.7
"BRA_MA_Buriticupu.817880_INMET","MA","Buriticupu",70417,8,26.19716895,0,5912,804.6
"BRA_MA_Carolina.819010_INMET","MA","Carolina",23866,7,26.57884703,0,6051.3,947.1
"BRA_MA_Caxias.817920_INMET","MA","Caxias",161137,7,26.37559361,0,5977.1,867.7
"BRA_MA_Chapadinha.817490_INMET","MA","Chapadinha",77684,8,26.89509132,0,6166.7,1058.1
"BRA_MA_Colinas.818660_INMET","MA","Colinas",40268,7,26.05405251,0,5859.7,755.5
"BRA_MA_Estreito.818630_INMET","MA","Estreito",40629,7,25.84028539,0,5781.7,685.9
"BRA_MA_Farol.Preguicas.817170_INMET","MA","Barreirinhas",12776,8,27.49762557,0,6386.6,1276.6
"BRA_MA_Farol.Santana.822770_INMET","MA","Humberto de Campos",26197,8,27.35783105,0,6335.6,1225.6
"BRA_MA_Grajau.818230_INMET","MA","Grajau",67626,7,26.1277968,0,5886.6,784.8
"BRA_MA_Imperatriz.818220_INMET","MA","Imperatriz",253123,7,26.88878995,0,6164.4,1055.6
"BRA_MA_Sao.Luis.817150_INMET","MA","Sao Luis",1073893,8,26.75603881,0,6116,1006.1
"BRA_MA_Turiacu.821980_INMET","MA","Turiacu",34826,8,26.52660959,0,6032.2,923.1
"BRA_MG_Aguas.Vermelhas.867220_INMET","MG","Aguas Vermelhas",13447,5,21.3909589,25.5,4157.7,19.3
"BRA_MG_Aimores.868030_INMET","MG","Aimores",25694,5,24.66678082,0,5353.4,500.6
"BRA_MG_Almenara.867430_INMET","MG","Almenara",41296,5,25.21611872,0,5553.9,632.6
"BRA_MG_Araxa.867960_INMET","MG","Araxa",102238,3,21.40135845,28.9,4161.5,55.6
"BRA_MG_Belo.Horizonte-Pampulha.AP.868000_INMET","MG","Belo Horizonte",2502557,3,21.75207763,21.5,4289.5,49.3
"BRA_MG_Buritis.867180_INMET","MG","Buritis",24351,6,22.2758105,3.5,4480.7,65.2
"BRA_MG_Caldas.868460_INMET","MG","Caldas",14396,3,17.86543379,508.8,2873.4,0
"BRA_MG_Capelinha.867610_INMET","MG","Capelinha",37330,3,20.08090183,79.3,3679.5,1.2
"BRA_MG_Carangola.868230_INMET","MG","Carangola",33463,2,22.02909817,64.5,4390.6,171.8
"BRA_MG_Caratinga.835920_INMET","MG","Caratinga",90782,3,21.76799087,17.7,4295.3,48.7
"BRA_MG_Chapada.Gaucha.867190_INMET","MG","Chapada Gaucha",12495,6,22.70187215,1.4,4636.2,117.5
"BRA_MG_Conceicao.das.Alagoas.867940_INMET","MG","Conceicao das Alagoas",26018,6,22.77310502,15.5,4662.2,184.1
"BRA_MG_Curvelo.867800_INMET","MG","Curvelo",78900,3,22.84289954,5.2,4687.7,161.7
"BRA_MG_Diamantina.AP.867810_INMET","MG","Diamantina",47952,3,18.62115297,226.5,3146.7,1
"BRA_MG_Dores.do.Indaia.867970_INMET","MG","Dores do Indaia",13983,3,21.98504566,12.4,4374.5,92.7
"BRA_MG_Espinosa.866950_INMET","MG","Espinosa",32151,6,25.0175,0,5481.4,512.5
"BRA_MG_Florestal.867980_INMET","MG","Florestal",7209,2,20.19533105,183.4,3721.3,16.4
"BRA_MG_Formiga.868200_INMET","MG","Formiga",68040,2,20.92432648,57.3,3987.4,37.6
