ghr,hvac,lights,boundaries,envelope,shgc,building,afn,total_hvac_light_cons
3495,split,9.9,adiabatic,3.7,0.3,90,com,41768.47
3495,split,9.9,adiabatic,3.7,0.3,90,sem,39406.75
3495,split,9.9,adiabatic,2.5,0.3,0,sem,43300.42
3495,split,9.9,adiabatic,3.7,0.3,180,com,41783.12
3495,split,9.9,adiabatic,3.7,0.3,180,sem,39646.45
3495,split,9.9,adiabatic,3.7,0.3,270,com,41825.64
3495,split,9.9,adiabatic,3.7,0.3,270,sem,39408.51
3495,split,9.9,adiabatic,3.7,0.7,0,com,42042.23
3495,split,9.9,adiabatic,3.7,0.7,0,sem,40076.52
3495,split,9.9,adiabatic,3.7,0.7,90,com,41282.62
3495,split,9.9,adiabatic,3.7,0.7,90,sem,39576.46
3495,split,9.9,adiabatic,3.7,0.7,180,com,41326.01
3495,split,9.9,adiabatic,3.7,0.7,180,sem,40136.13
3495,split,9.9,adiabatic,2.5,0.3,90,com,45015.84
3495,split,9.9,adiabatic,3.7,0.7,270,com,41270.83
3495,split,9.9,adiabatic,3.7,0.7,270,sem,39689.11
3495,split,9.9,outdoors,2.5,0.3,0,com,39137.53
3495,split,9.9,outdoors,2.5,0.3,0,sem,38639.38
3495,split,9.9,outdoors,2.5,0.3,90,com,39138.43
3495,split,9.9,outdoors,2.5,0.3,90,sem,38827.64
3495,split,9.9,outdoors,2.5,0.3,180,com,39086.24
3495,split,9.9,outdoors,2.5,0.3,180,sem,39401.43
3495,split,9.9,outdoors,2.5,0.3,270,com,39408.85
3495,split,9.9,outdoors,2.5,0.3,270,sem,39265.82
3495,split,9.9,adiabatic,2.5,0.3,90,sem,42340.74
3495,split,9.9,outdoors,2.5,0.7,0,com,39419.4
3495,split,9.9,outdoors,2.5,0.7,0,sem,39499.65
3495,split,9.9,outdoors,2.5,0.7,90,com,39563.29
3495,split,9.9,outdoors,2.5,0.7,90,sem,39844.8
3495,split,9.9,outdoors,2.5,0.7,180,com,39767.65
3495,split,9.9,outdoors,2.5,0.7,180,sem,40934.28
3495,split,9.9,outdoors,2.5,0.7,270,com,40052.1
3495,split,9.9,outdoors,2.5,0.7,270,sem,40583.95
3495,split,9.9,outdoors,3.7,0.3,0,com,39141.84
3495,split,9.9,outdoors,3.7,0.3,0,sem,38890.09
3495,split,9.9,adiabatic,2.5,0.3,180,com,45248.64
3495,split,9.9,outdoors,3.7,0.3,90,com,39146.34
3495,split,9.9,outdoors,3.7,0.3,90,sem,39006.78
3495,split,9.9,outdoors,3.7,0.3,180,com,39197.61
