"case","seed","epw","afn","area","atm","azimuth","boundaries","cdh","envelope","hvac","lights","shgc"
"afn_max_area_4_atm_15_azi_228.43_bounds_outdoors_cdh_75_env_heavy_hvac_vrf_lights_20.62_shgc_0.41","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_PR_Curitiba.838420_INMET","max",235,15,228.43,"outdoors",9397,"heavy","vrf",20.62,0.41
"afn_max_area_376_atm_5_azi_108.24_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_15.14_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",2093,5,108.24,"outdoors",17946,"heavy","vrf",15.14,0.6
"afn_max_area_104_atm_5_azi_108.24_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_15.14_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",737.9,5,108.24,"outdoors",17946,"heavy","vrf",15.14,0.6
"afn_max_area_376_atm_7_azi_108.24_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_15.14_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",2093,7,108.24,"outdoors",17946,"heavy","vrf",15.14,0.6
"afn_max_area_376_atm_5_azi_273.68_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_15.14_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",2093,5,273.68,"outdoors",17946,"heavy","vrf",15.14,0.6
"afn_max_area_376_atm_5_azi_108.24_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_15.14_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",2093,5,108.24,"outdoors",69706,"heavy","vrf",15.14,0.6
"afn_max_area_376_atm_5_azi_108.24_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_11.24_shgc_0.6","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",2093,5,108.24,"outdoors",17946,"heavy","vrf",11.24,0.6
"afn_max_area_376_atm_5_azi_108.24_bounds_outdoors_cdh_94_env_heavy_hvac_vrf_lights_15.14_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RS_Chui.869980_INMET","max",2093,5,108.24,"outdoors",17946,"heavy","vrf",15.14,0.55
"afn_max_area_104_atm_7_azi_273.68_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_11.24_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",737.9,7,273.68,"outdoors",69706,"heavy","vrf",11.24,0.55
"afn_max_area_376_atm_7_azi_273.68_bounds_outdoors_cdh_90_env_heavy_hvac_vrf_lights_11.24_shgc_0.55","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_RN_Natal.818390_INMET","max",2093,7,273.68,"outdoors",69706,"heavy","vrf",11.24,0.55
