hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
split,2.5,9.9,0.7,max,270,adiabatic,3495,15.31,11.66,78.7302333333333
split,2.5,9.9,0.7,min,270,adiabatic,3495,15.31,11.66,75.6507833333333
split,3.7,9.9,0.3,max,0,adiabatic,3495,15.31,11.66,75.47765
split,3.7,9.9,0.3,min,0,adiabatic,3495,15.31,11.66,71.2253
split,3.7,9.9,0.3,max,90,adiabatic,3495,15.31,11.66,74.3849
split,3.7,9.9,0.3,min,90,adiabatic,3495,15.31,11.66,70.4487
split,2.5,9.9,0.3,min,0,adiabatic,3495,15.31,11.66,76.93815
split,3.7,9.9,0.3,max,180,adiabatic,3495,15.31,11.66,74.4093166666667
split,3.7,9.9,0.3,min,180,adiabatic,3495,15.31,11.66,70.8482
split,3.7,9.9,0.3,max,270,adiabatic,3495,15.31,11.66,74.4801833333333
split,3.7,9.9,0.3,min,270,adiabatic,3495,15.31,11.66,70.4516333333334
split,3.7,9.9,0.7,max,0,adiabatic,3495,15.31,11.66,74.8411666666667
split,3.7,9.9,0.7,min,0,adiabatic,3495,15.31,11.66,71.5649833333333
split,3.7,9.9,0.7,max,90,adiabatic,3495,15.31,11.66,73.57515
split,3.7,9.9,0.7,min,90,adiabatic,3495,15.31,11.66,70.73155
split,3.7,9.9,0.7,max,180,adiabatic,3495,15.31,11.66,73.6474666666667
split,3.7,9.9,0.7,min,180,adiabatic,3495,15.31,11.66,71.6643333333334
split,2.5,9.9,0.3,max,90,adiabatic,3495,15.31,11.66,79.7971833333334
split,3.7,9.9,0.7,max,270,adiabatic,3495,15.31,11.66,73.5555
split,3.7,9.9,0.7,min,270,adiabatic,3495,15.31,11.66,70.9193
split,2.5,9.9,0.3,max,0,outdoors,3495,15.31,11.66,70
split,2.5,9.9,0.3,min,0,outdoors,3495,15.31,11.66,69.16975
split,2.5,9.9,0.3,max,90,outdoors,3495,15.31,11.66,70.0015
split,2.5,9.9,0.3,min,90,outdoors,3495,15.31,11.66,69.4835166666667
split,2.5,9.9,0.3,max,180,outdoors,3495,15.31,11.66,69.9145166666667
split,2.5,9.9,0.3,min,180,outdoors,3495,15.31,11.66,70.4398333333333
split,2.5,9.9,0.3,max,270,outdoors,3495,15.31,11.66,70.4522
split,2.5,9.9,0.3,min,270,outdoors,3495,15.31,11.66,70.2138166666667
split,2.5,9.9,0.3,min,90,adiabatic,3495,15.31,11.66,75.3386833333333
split,2.5,9.9,0.7,max,0,outdoors,3495,15.31,11.66,70.4697833333334
split,2.5,9.9,0.7,min,0,outdoors,3495,15.31,11.66,70.6035333333333
split,2.5,9.9,0.7,max,90,outdoors,3495,15.31,11.66,70.7096
split,2.5,9.9,0.7,min,90,outdoors,3495,15.31,11.66,71.1787833333333
split,2.5,9.9,0.7,max,180,outdoors,3495,15.31,11.66,71.0502
split,2.5,9.9,0.7,min,180,outdoors,3495,15.31,11.66,72.9945833333333
split,2.5,9.9,0.7,max,270,outdoors,3495,15.31,11.66,71.5242833333333
split,2.5,9.9,0.7,min,270,outdoors,3495,15.31,11.66,72.4107
split,3.7,9.9,0.3,max,0,outdoors,3495,15.31,11.66,70.0071833333334
split,3.7,9.9,0.3,min,0,outdoors,3495,15.31,11.66,69.5876
split,2.5,9.9,0.3,max,180,adiabatic,3495,15.31,11.66,80.1851833333333
split,3.7,9.9,0.3,max,90,outdoors,3495,15.31,11.66,70.0146833333334
split,3.7,9.9,0.3,min,90,outdoors,3495,15.31,11.66,69.7820833333333
split,3.7,9.9,0.3,max,180,outdoors,3495,15.31,11.66,70.1001333333333
split,3.7,9.9,0.3,min,180,outdoors,3495,15.31,11.66,70.73415
split,3.7,9.9,0.3,max,270,outdoors,3495,15.31,11.66,70.3678666666666
