"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"h_split_e_3.7_l_11.41_s_0.47_v_max_a_247.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,11.408203125,0.471484375,"max",247.8515625,"outdoors",3495,39.2940835758307
"h_split_e_3.7_l_12.28_s_0.58_v_max_a_0.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,12.283203125,0.583203125,"max",0.3515625,"adiabatic",3495,38.9927678045548
"h_split_e_3.7_l_13.16_s_0.31_v_min_a_181.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.158203125,0.308203125,"min",181.7578125,"outdoors",3495,41.0299532033083
"h_split_e_3.7_l_13.16_s_0.32_v_min_a_181.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.158203125,0.321484375,"min",181.7578125,"outdoors",3495,41.1001279714561
"h_split_e_3.7_l_13.16_s_0.32_v_min_a_22.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.158203125,0.321484375,"min",22.8515625,"outdoors",3495,39.5208244661017
"h_split_e_3.7_l_13.32_s_0.42_v_min_a_112.85_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.322265625,0.421484375,"min",112.8515625,"adiabatic",3495,40.6393698501978
"h_split_e_3.7_l_13.32_s_0.42_v_min_a_91.76_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.322265625,0.421484375,"min",91.7578125,"adiabatic",3495,40.3606670046307
"h_split_e_3.7_l_13.32_s_0.61_v_min_a_112.85_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.322265625,0.608203125,"min",112.8515625,"adiabatic",3495,41.7596286543633
"h_split_e_3.7_l_13.32_s_0.61_v_min_a_91.76_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.322265625,0.608203125,"min",91.7578125,"adiabatic",3495,41.3907984281377
"h_split_e_3.7_l_13.76_s_0.43_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.759765625,0.433984375,"min",236.6015625,"outdoors",3495,42.0109904417547
"h_split_e_3.7_l_13.76_s_0.47_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.759765625,0.470703125,"min",236.6015625,"outdoors",3495,42.3076394462856
"h_split_e_3.7_l_13.76_s_0.47_v_min_a_328.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,13.759765625,0.470703125,"min",328.0078125,"outdoors",3495,41.0100639368013
"h_split_e_3.7_l_14.2_s_0.5_v_max_a_69.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,14.197265625,0.496484375,"max",69.2578125,"adiabatic",3495,39.2479722301621
"h_split_e_3.7_l_14.47_s_0.43_v_min_a_328.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,14.470703125,0.433984375,"min",328.0078125,"outdoors",3495,41.1862349036691
"h_split_e_3.7_l_14.47_s_0.47_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,14.470703125,0.470703125,"min",236.6015625,"outdoors",3495,42.7182470443122
"h_split_e_3.7_l_15.95_s_0.35_v_max_a_45.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,15.947265625,0.346484375,"max",45.3515625,"adiabatic",3495,39.1259784864323
"h_split_e_3.7_l_15.95_s_0.35_v_min_a_294.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,15.947265625,0.346484375,"min",294.2578125,"adiabatic",3495,41.8986624725984
"h_split_e_3.7_l_15.95_s_0.43_v_max_a_294.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,15.947265625,0.433203125,"max",294.2578125,"adiabatic",3495,40.0858824800481
"h_split_e_3.7_l_15.95_s_0.43_v_max_a_45.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,15.947265625,0.433203125,"max",45.3515625,"adiabatic",3495,39.3339016289002
"h_split_e_3.7_l_15.95_s_0.43_v_min_a_45.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,15.947265625,0.433203125,"min",45.3515625,"adiabatic",3495,41.3796717202169
"h_split_e_3.7_l_16.66_s_0.42_v_min_a_112.85_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,16.658203125,0.421484375,"min",112.8515625,"adiabatic",3495,42.4255978859965
"h_split_e_3.7_l_16.66_s_0.42_v_min_a_91.76_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",3.7,16.658203125,0.421484375,"min",91.7578125,"adiabatic",3495,42.120614771584
