"hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"vrf",2.5,15.783203125,0.596484375,"max",159.2578125,"adiabatic",3495,25.836956522631
"vrf",2.5,15.783203125,0.596484375,"min",159.2578125,"adiabatic",3495,29.639500128445
"vrf",2.5,15.783203125,0.596484375,"min",159.2578125,"outdoors",3495,29.639500128445
"vrf",2.5,15.783203125,0.596484375,"min",90.3515625,"adiabatic",3495,28.7727798646688
"vrf",2.5,16.220703125,0.320703125,"max",11.6015625,"adiabatic",3495,23.9134847213196
"vrf",2.5,16.220703125,0.383984375,"max",13.0078125,"outdoors",3495,24.0516095515374
"vrf",2.5,16.822265625,0.508203125,"max",202.8515625,"adiabatic",3495,26.1447748817726
"vrf",2.5,16.822265625,0.521484375,"max",1.7578125,"adiabatic",3495,24.6516548647535
"vrf",2.5,17.259765625,0.570703125,"min",326.6015625,"adiabatic",3495,28.8874457666434
"vrf",2.5,17.970703125,0.533984375,"max",238.0078125,"outdoors",3495,26.7801779159002
"vrf",2.5,18.408203125,0.658203125,"min",316.7578125,"adiabatic",3495,29.8649628969025
"vrf",2.5,18.408203125,0.671484375,"min",316.7578125,"adiabatic",3495,29.9045627984023
"vrf",2.5,18.408203125,0.671484375,"min",316.7578125,"outdoors",3495,29.9045627984023
"vrf",2.5,18.408203125,0.671484375,"min",67.8515625,"adiabatic",3495,29.8665428597093
"vrf",2.5,19.283203125,0.383203125,"min",180.3515625,"outdoors",3495,30.2536941326695
"vrf",2.5,20.158203125,0.508203125,"max",1.7578125,"adiabatic",3495,25.9604593693433
"vrf",2.5,20.158203125,0.521484375,"max",1.7578125,"adiabatic",3495,26.000947305688
"vrf",2.5,20.158203125,0.521484375,"max",202.8515625,"adiabatic",3495,27.6437563293238
"vrf",2.5,20.322265625,0.408203125,"max",271.7578125,"outdoors",3495,26.7866541339745
"vrf",2.5,20.322265625,0.408203125,"max",292.8515625,"outdoors",3495,26.4874810422753
"vrf",2.5,20.322265625,0.621484375,"max",271.7578125,"outdoors",3495,27.7612696072084
"vrf",2.5,20.322265625,0.621484375,"max",292.8515625,"outdoors",3495,27.3581400745468
"vrf",2.5,20.759765625,0.633984375,"max",56.6015625,"adiabatic",3495,26.9254800054224
"vrf",2.5,20.759765625,0.670703125,"max",148.0078125,"adiabatic",3495,28.1104516987373
"vrf",2.5,20.759765625,0.670703125,"max",56.6015625,"adiabatic",3495,27.0238091740372
"vrf",2.5,21.197265625,0.696484375,"min",249.2578125,"outdoors",3495,32.4820796976379
"vrf",2.5,21.470703125,0.633984375,"max",148.0078125,"adiabatic",3495,28.2802206969147
"vrf",2.5,21.470703125,0.670703125,"max",56.6015625,"adiabatic",3495,27.3203528311518
"vrf",2.5,22.947265625,0.546484375,"max",114.2578125,"outdoors",3495,28.2255353490738
"vrf",2.5,22.947265625,0.546484375,"min",225.3515625,"outdoors",3495,32.7732340816308
"vrf",2.5,22.947265625,0.633203125,"max",225.3515625,"outdoors",3495,29.4124347331886
"vrf",2.5,22.947265625,0.633203125,"min",114.2578125,"outdoors",3495,32.24765696688
"vrf",2.5,22.947265625,0.633203125,"min",225.3515625,"outdoors",3495,33.1300174832533
"vrf",2.5,23.658203125,0.408203125,"max",271.7578125,"outdoors",3495,28.2085012367201
"vrf",2.5,23.658203125,0.408203125,"max",292.8515625,"outdoors",3495,27.9024571699086
"vrf",2.5,23.658203125,0.621484375,"max",271.7578125,"outdoors",3495,29.1585627075467
"vrf",2.5,23.658203125,0.621484375,"max",292.8515625,"outdoors",3495,28.7569422785166
"vrf",3.7,10.259765625,0.370703125,"max",146.6015625,"outdoors",3495,22.8459094671404
"vrf",3.7,10.259765625,0.370703125,"max",238.0078125,"outdoors",3495,23.0603359157966
"vrf",3.7,10.259765625,0.533984375,"max",146.6015625,"outdoors",3495,23.51278660371
"vrf",3.7,10.970703125,0.333984375,"min",326.6015625,"adiabatic",3495,25.380869467474
"vrf",3.7,10.970703125,0.333984375,"min",58.0078125,"adiabatic",3495,25.410593096637
"vrf",3.7,10.970703125,0.570703125,"min",58.0078125,"adiabatic",3495,26.3671916147475
"vrf",3.7,11.408203125,0.458203125,"max",247.8515625,"adiabatic",3495,23.7976713429989
"vrf",3.7,11.408203125,0.471484375,"max",136.7578125,"outdoors",3495,23.5922538798348
"vrf",3.7,12.283203125,0.696484375,"min",249.2578125,"outdoors",3495,28.8991501073736
"vrf",3.7,12.447265625,0.333203125,"max",315.3515625,"adiabatic",3495,23.1423661841422
"vrf",3.7,12.447265625,0.333203125,"min",204.2578125,"adiabatic",3495,27.1329248661873
"vrf",3.7,12.447265625,0.333203125,"min",315.3515625,"adiabatic",3495,26.2268761944212
"vrf",3.7,12.447265625,0.646484375,"min",315.3515625,"adiabatic",3495,27.5094985934248
"vrf",3.7,12.720703125,0.483984375,"max",101.6015625,"adiabatic",3495,23.9431509986163
"vrf",3.7,12.720703125,0.483984375,"max",283.0078125,"adiabatic",3495,24.1136902077155
"vrf",3.7,12.720703125,0.483984375,"max",283.0078125,"outdoors",3495,24.1136902077155
"vrf",3.7,12.720703125,0.620703125,"max",101.6015625,"outdoors",3495,24.4560885333772
"vrf",3.7,12.720703125,0.620703125,"max",283.0078125,"adiabatic",3495,24.6914111539741
"vrf",3.7,13.759765625,0.433984375,"min",328.0078125,"outdoors",3495,27.0886149362208
"vrf",3.7,13.759765625,0.470703125,"min",236.6015625,"outdoors",3495,28.4998674821746
"vrf",3.7,14.033203125,0.333203125,"min",315.3515625,"adiabatic",3495,27.0079138609233
"vrf",3.7,14.033203125,0.646484375,"max",204.2578125,"adiabatic",3495,25.8166549675372
"vrf",3.7,14.197265625,0.383203125,"min",180.3515625,"outdoors",3495,28.1159249445503
"vrf",3.7,14.470703125,0.433984375,"min",236.6015625,"outdoors",3495,28.6035163872884
"vrf",3.7,14.470703125,0.433984375,"min",328.0078125,"outdoors",3495,27.430013826122
"vrf",3.7,14.470703125,0.470703125,"min",328.0078125,"outdoors",3495,27.5860001990801
"vrf",3.7,15.509765625,0.320703125,"max",11.6015625,"adiabatic",3495,23.9541565723347
"vrf",3.7,15.509765625,0.383984375,"max",13.0078125,"outdoors",3495,24.0964605071964
"vrf",3.7,16.220703125,0.320703125,"max",13.0078125,"outdoors",3495,24.2318552308041
"vrf",3.7,16.220703125,0.383984375,"max",11.6015625,"outdoors",3495,24.371731690719
"vrf",3.7,16.220703125,0.383984375,"max",13.0078125,"adiabatic",3495,24.3745711455928
"vrf",3.7,16.220703125,0.383984375,"max",13.0078125,"outdoors",3495,24.3745711455928
"vrf",3.7,16.822265625,0.508203125,"max",1.7578125,"adiabatic",3495,24.9616791624828
"vrf",3.7,16.822265625,0.508203125,"max",202.8515625,"adiabatic",3495,26.2914154329261
"vrf",3.7,16.822265625,0.521484375,"max",202.8515625,"adiabatic",3495,26.368878853225
"vrf",3.7,17.259765625,0.333984375,"min",58.0078125,"adiabatic",3495,28.4596549974256
"vrf",3.7,17.697265625,0.396484375,"min",270.3515625,"adiabatic",3495,29.5920665363494
"vrf",3.7,17.697265625,0.683203125,"max",270.3515625,"adiabatic",3495,27.1449560434489
"vrf",3.7,17.697265625,0.683203125,"min",270.3515625,"adiabatic",3495,30.9403466578335
"vrf",3.7,17.697265625,0.683203125,"min",270.3515625,"outdoors",3495,30.9403466578335
"vrf",3.7,17.697265625,0.683203125,"min",339.2578125,"adiabatic",3495,29.7185852411077
"vrf",3.7,17.970703125,0.370703125,"max",146.6015625,"outdoors",3495,25.8252491612662
"vrf",3.7,19.009765625,0.483984375,"max",101.6015625,"outdoors",3495,26.472477583666
"vrf",3.7,19.009765625,0.483984375,"max",283.0078125,"adiabatic",3495,26.654964828419
"vrf",3.7,19.009765625,0.620703125,"max",101.6015625,"adiabatic",3495,27.0186367885326
"vrf",3.7,19.009765625,0.620703125,"max",101.6015625,"outdoors",3495,27.0186367885326
"vrf",3.7,19.009765625,0.620703125,"max",283.0078125,"outdoors",3495,27.2581899585859
"vrf",3.7,19.283203125,0.496484375,"max",69.2578125,"adiabatic",3495,26.3465114095754
"vrf",3.7,20.158203125,0.508203125,"max",202.8515625,"adiabatic",3495,27.7449467703365
"vrf",3.7,20.158203125,0.521484375,"max",1.7578125,"adiabatic",3495,26.4062408264191
"vrf",3.7,21.197265625,0.583203125,"max",0.3515625,"adiabatic",3495,27.0366098261385
"vrf",3.7,22.072265625,0.458203125,"max",136.7578125,"adiabatic",3495,27.9179122348592
"vrf",3.7,22.072265625,0.458203125,"max",247.8515625,"adiabatic",3495,28.2183839300427
"vrf",3.7,22.072265625,0.458203125,"max",247.8515625,"outdoors",3495,28.2183839300427
"vrf",3.7,22.072265625,0.471484375,"max",247.8515625,"adiabatic",3495,28.2962398511345
"vrf",3.7,22.783203125,0.396484375,"max",339.2578125,"outdoors",3495,27.2738444991091
"vrf",3.7,22.783203125,0.683203125,"min",270.3515625,"adiabatic",3495,32.9754890959994
"split",2.5,10.259765625,0.533984375,"max",238.0078125,"outdoors",14172,48.1698385095845
"split",2.5,10.697265625,0.483203125,"max",159.2578125,"outdoors",14172,47.5769139943609
"split",2.5,10.697265625,0.483203125,"max",90.3515625,"adiabatic",14172,46.5213746469696
"split",2.5,10.697265625,0.483203125,"max",90.3515625,"outdoors",14172,46.5213746469696
"split",2.5,10.697265625,0.483203125,"min",90.3515625,"outdoors",14172,47.2570998550157
"split",2.5,10.697265625,0.596484375,"max",90.3515625,"outdoors",14172,47.0891440721711
"split",2.5,10.970703125,0.570703125,"min",326.6015625,"adiabatic",14172,48.1491867152923
"split",2.5,12.009765625,0.420703125,"min",103.0078125,"adiabatic",14172,47.9039853177235
"split",2.5,12.009765625,0.420703125,"min",281.6015625,"adiabatic",14172,48.53223579143
"split",2.5,12.009765625,0.420703125,"min",281.6015625,"outdoors",14172,48.53223579143
"split",2.5,12.009765625,0.683984375,"min",103.0078125,"outdoors",14172,49.3145868719456
"split",2.5,12.009765625,0.683984375,"min",281.6015625,"adiabatic",14172,50.0752170112486
"split",2.5,12.283203125,0.696484375,"min",249.2578125,"outdoors",14172,51.0766595282326
"split",2.5,13.158203125,0.308203125,"min",22.8515625,"outdoors",14172,47.6286334880839
"split",2.5,13.158203125,0.321484375,"min",181.7578125,"outdoors",14172,49.7157754521745
"split",2.5,14.197265625,0.383203125,"min",180.3515625,"outdoors",14172,50.737470390156
"split",2.5,15.072265625,0.658203125,"min",316.7578125,"outdoors",14172,51.2646471645782
"split",2.5,15.072265625,0.658203125,"min",67.8515625,"adiabatic",14172,50.3817756163989
"split",2.5,15.072265625,0.658203125,"min",67.8515625,"outdoors",14172,50.3817756163989
"split",2.5,15.072265625,0.671484375,"min",67.8515625,"outdoors",14172,50.430872643224
"split",2.5,15.783203125,0.483203125,"max",90.3515625,"outdoors",14172,49.029245904035
"split",2.5,15.783203125,0.596484375,"min",159.2578125,"adiabatic",14172,52.7039163351486
"split",2.5,17.259765625,0.333984375,"min",326.6015625,"adiabatic",14172,50.9688170443479
"split",2.5,17.259765625,0.570703125,"min",326.6015625,"adiabatic",14172,52.1628481012933
"split",2.5,17.259765625,0.570703125,"min",58.0078125,"adiabatic",14172,51.2626771587322
