"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries"
"h_split_e_2.5_l_23.22_s_0.52_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",23.220703125,0.520703125,"min",193.0078125,"adiabatic"
"h_split_e_2.5_l_23.22_s_0.58_v_min_a_191.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",23.220703125,0.583984375,"min",191.6015625,"adiabatic"
"h_split_e_2.5_l_23.22_s_0.58_v_min_a_193.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",23.220703125,0.583984375,"min",193.0078125,"outdoors"
"h_split_e_2.5_l_10.7_s_0.48_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.697265625,0.483203125,"max",90.3515625,"outdoors"
"h_vrf_e_2.5_l_10.7_s_0.48_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",10.697265625,0.483203125,"max",90.3515625,"outdoors"
"h_split_e_2.5_l_15.78_s_0.48_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",15.783203125,0.483203125,"max",90.3515625,"outdoors"
"h_split_e_2.5_l_10.7_s_0.6_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.697265625,0.596484375,"max",90.3515625,"outdoors"
"h_split_e_2.5_l_10.7_s_0.48_v_min_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.697265625,0.483203125,"min",90.3515625,"outdoors"
"h_split_e_2.5_l_10.7_s_0.48_v_max_a_159.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.697265625,0.483203125,"max",159.2578125,"outdoors"
"h_split_e_2.5_l_10.7_s_0.48_v_max_a_90.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.697265625,0.483203125,"max",90.3515625,"adiabatic"
"h_split_e_2.5_l_15.78_s_0.6_v_min_a_159.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",15.783203125,0.596484375,"min",159.2578125,"adiabatic"
"h_vrf_e_2.5_l_15.78_s_0.6_v_min_a_159.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.783203125,0.596484375,"min",159.2578125,"adiabatic"
"h_vrf_e_2.5_l_10.7_s_0.6_v_min_a_159.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",10.697265625,0.596484375,"min",159.2578125,"adiabatic"
"h_vrf_e_2.5_l_15.78_s_0.48_v_min_a_159.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.783203125,0.483203125,"min",159.2578125,"adiabatic"
"h_vrf_e_2.5_l_15.78_s_0.6_v_max_a_159.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.783203125,0.596484375,"max",159.2578125,"adiabatic"
"h_vrf_e_2.5_l_15.78_s_0.6_v_min_a_90.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.783203125,0.596484375,"min",90.3515625,"adiabatic"
"h_vrf_e_2.5_l_15.78_s_0.6_v_min_a_159.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",15.783203125,0.596484375,"min",159.2578125,"outdoors"
"h_vrf_e_3.7_l_17.7_s_0.68_v_min_a_270.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.697265625,0.683203125,"min",270.3515625,"adiabatic"
"h_split_e_3.7_l_17.7_s_0.68_v_min_a_270.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",17.697265625,0.683203125,"min",270.3515625,"adiabatic"
"h_vrf_e_3.7_l_22.78_s_0.68_v_min_a_270.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",22.783203125,0.683203125,"min",270.3515625,"adiabatic"
"h_vrf_e_3.7_l_17.7_s_0.4_v_min_a_270.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.697265625,0.396484375,"min",270.3515625,"adiabatic"
"h_vrf_e_3.7_l_17.7_s_0.68_v_max_a_270.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.697265625,0.683203125,"max",270.3515625,"adiabatic"
"h_vrf_e_3.7_l_17.7_s_0.68_v_min_a_339.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.697265625,0.683203125,"min",339.2578125,"adiabatic"
"h_vrf_e_3.7_l_17.7_s_0.68_v_min_a_270.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.697265625,0.683203125,"min",270.3515625,"outdoors"
"h_vrf_e_3.7_l_22.78_s_0.4_v_max_a_339.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",22.783203125,0.396484375,"max",339.2578125,"outdoors"
